"apppath","appbase","appname","appextension","appaction","appteam"
"E:\MY PERSONAL SCRIPTS\ORIENTATION-POWER2.BAT","E:\","ORIENTATION-POWER2","BAT","warn","UNDEFINED"
"E:\MY PERSONAL SCRIPTS\RECON-POWER.VBS","E:\","RECON-POWER","VBS","warn","UNDEFINED"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\AUTORUNS64.EXE","OSDRIVE","AUTORUNS64","EXE","warn","UNDEFINED"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\ORIENTATION-POWER1.CMD","OSDRIVE","ORIENTATION-POWER1","CMD","warn","UNDEFINED"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\KITTY_PORTABLE.EXE","OSDRIVE","KITTY_PORTABLE","EXE","warn","UNDEFINED"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\ORIENTATION-POWER2.BAT","OSDRIVE","ORIENTATION-POWER2","BAT","warn","UNDEFINED"
"E:\HELPFUL PORTABLE APPS\ADEXPLORER.EXE","E:\","ADEXPLORER","EXE","warn","UNDEFINED"
"E:\HELPFUL PORTABLE APPS\AUTORUNS64.EXE","E:\","AUTORUNS64","EXE","warn","UNDEFINED"
"E:\HELPFUL PORTABLE APPS\KITTY_PORTABLE.EXE","E:\","KITTY_PORTABLE","EXE","warn","UNDEFINED"
"E:\MY PERSONAL SCRIPTS\ORIENTATION-POWER1.CMD","E:\","ORIENTATION-POWER1","CMD","warn","UNDEFINED"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\RECON-POWER.VBS","OSDRIVE","RECON-POWER","VBS","warn","UNDEFINED"
"E:\MY PERSONAL SCRIPTS\ORIENTATION-POWER2.BAT","E:\","ORIENTATION-POWER2","BAT","warn","App-Team Duesseldorf"
"E:\MY PERSONAL SCRIPTS\RECON-POWER.VBS","E:\","RECON-POWER","VBS","warn","App-Team Duesseldorf"
"E:\HELPFUL PORTABLE APPS\AUTORUNS64.EXE","E:\","AUTORUNS64","EXE","warn","App-Team Duesseldorf"
"E:\HELPFUL PORTABLE APPS\ADEXPLORER.EXE","E:\","ADEXPLORER","EXE","warn","App-Team Duesseldorf"
"E:\HELPFUL PORTABLE APPS\PROCEXP.EXE","E:\","PROCEXP","EXE","warn","App-Team Duesseldorf"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\ORIENTATION-POWER1.CMD","OSDRIVE","ORIENTATION-POWER1","CMD","warn","App-Team Duesseldorf"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\KITTY_PORTABLE.EXE","OSDRIVE","KITTY_PORTABLE","EXE","warn","App-Team Duesseldorf"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\PWTECH.EXE","OSDRIVE","PWTECH","EXE","warn","App-Team Moenchengladbach"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\MY PERSONAL SCRIPTS\ORIENTATION-POWER1.CMD","OSDRIVE","ORIENTATION-POWER1","CMD","warn","App-Team Moenchengladbach"
"%OSDRIVE%\USERS\PUBLIC\DOCUMENTS\HELPFUL PORTABLE APPS\ADEXPLORER.EXE","OSDRIVE","ADEXPLORER","EXE","warn","App-Team Moenchengladbach"
